movie_title,title_year,genres,plot_keywords,movie_imdb_link,director_name,actor_1_name,actor_2_name,actor_3_name,color,duration,language,country,facenumber_in_poster,aspect_ratio,content_rating,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes
Total Recall,1990,Action|Sci-Fi,ambiguous ending|false memory|implanted memory|memory|space colony,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Color,113,English,USA,0,1.85,R,65000000,119412921,7.5,240241,391,196,719,0,605,308,217,1441
The 13th Warrior,1999,Action|Adventure|History,arab|battle|combat|viking|warrior,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,Color,102,English,USA,1,2.35,R,85000000,32694788,6.6,101411,546,85,323,0,845,372,241,1815
Gone in Sixty Seconds,2000,Action|Crime|Thriller,auto theft|brother|car|theft|thief,http://www.imdb.com/title/tt0187078/?ref_=fn_tt_tt_1,Dominic Sena,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,Color,127,English,USA,1,2.35,PG-13,90000000,101643008,6.5,218341,498,175,57,0,12000,11000,3000,29069
The Expendables 2,2012,Action|Adventure|Thriller,church|hostage|mine|plutonium|revenge,http://www.imdb.com/title/tt1764651/?ref_=fn_tt_tt_1,Simon West,Jason Statham,Sylvester Stallone,Bruce Willis,Color,103,English,USA,3,2.35,R,92000000,85017401,6.7,246803,474,383,165,108000,26000,13000,13000,57881
End of Days,1999,Action|Fantasy|Horror|Mystery,atheist|ex cop|female masturbation|female nudity|lucifer,http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1,Peter Hyams,CCH Pounder,Mark Margolis,Udo Kier,Color,121,English,USA,0,2.35,R,83000000,66862068,5.7,89509,524,174,0,2000,1000,1000,595,3903
Legend of the Guardians: The Owls of Ga'Hoole,2010,Action|Adventure|Animation|Family|Fantasy,barn owl|escape|owl|ruler|soldier,http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1,Zack Snyder,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,Color,101,English,USA,1,2.35,PG,80000000,55673333,7,65785,160,188,0,16000,2000,653,577,4286
The Expendables 3,2014,Action|Adventure|Thriller,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1,Patrick Hughes,Jason Statham,Sylvester Stallone,Harrison Ford,Color,131,English,USA,15,2.35,PG-13,90000000,39292022,6.1,127258,351,320,385,56000,26000,13000,11000,52610
The Spanish Prisoner,1997,Drama|Mystery|Thriller,brother sister relationship|extradition|fbi|japanese tourist|secret,http://www.imdb.com/title/tt0120176/?ref_=fn_tt_tt_1,David Mamet,Ben Gazzara,Felicity Huffman,Campbell Scott,Color,110,English,USA,0,1.85,PG,10000000,10200000,7.3,18697,263,97,342,578,623,508,393,1722
The Stepford Wives,2004,Comedy|Sci-Fi|Thriller,community|connecticut|fem bot|tv producer|writer,http://www.imdb.com/title/tt0327162/?ref_=fn_tt_tt_1,Frank Oz,Jon Lovitz,Matthew Broderick,Roger Bart,Color,93,English,USA,1,1.85,PG-13,90000000,59475623,5.2,49739,407,169,0,0,11000,2000,465,13748
Black Hawk Down,2001,Drama|History|War,army|helicopter|somali|somalia|warlord,http://www.imdb.com/title/tt0265086/?ref_=fn_tt_tt_1,Ridley Scott,Ioan Gruffudd,Sam Shepard,Ewen Bremner,Color,152,English,USA,0,2.35,R,92000000,108638745,7.7,292022,1103,200,0,10000,2000,820,557,4270
The Campaign,2012,Comedy,campaigning|congressman|north carolina|title at the end|u.s. congressman,http://www.imdb.com/title/tt1790886/?ref_=fn_tt_tt_1,Jay Roach,Will Ferrell,Thomas Middleditch,Katherine LaNasa,Color,85,English,USA,0,1.85,R,95000000,86897182,6.2,106790,177,255,116,18000,8000,331,329,9271
The Road to El Dorado,2000,Adventure|Animation|Comedy|Family|Romance,adventurer|el dorado|gold|high priest|implied sex,http://www.imdb.com/title/tt0138749/?ref_=fn_tt_tt_1,Bibo Bergeron,Frank Welker,Rosie Perez,Elton John,Color,89,English,USA,1,1.85,PG,95000000,50802661,6.9,58300,139,82,10,0,2000,919,442,3372
The Lovely Bones,2009,Drama|Fantasy|Thriller,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,Peter Jackson,Michael Imperioli,AJ Michalka,Tom McCarthy,Color,135,English,USA,1,2.35,PG-13,65000000,43982842,6.7,125109,593,308,0,16000,873,560,310,2370
Seventh Son,2014,Action|Adventure|Fantasy,apprentice|demon|exorcism|master apprentice relationship|witch,http://www.imdb.com/title/tt1121096/?ref_=fn_tt_tt_1,Sergey Bodrov,Jeff Bridges,Djimon Hounsou,Olivia Williams,Color,102,English,USA,4,2.35,PG-13,95000000,17176900,5.5,54501,154,175,44,16000,12000,3000,766,17098
The Spiderwick Chronicles,2008,Adventure|Family|Fantasy,actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,http://www.imdb.com/title/tt0416236/?ref_=fn_tt_tt_1,Mark Waters,Martin Short,Tod Fennell,Joan Plowright,Color,107,English,USA,0,2.35,PG,90000000,71148699,6.6,68935,125,198,70,0,770,419,330,1614
A Good Day to Die Hard,2013,Action|Thriller,bomb|cia|courthouse|escape|russian,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,John Moore,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,Color,101,English,USA,2,1.85,R,92000000,67344392,5.3,165618,503,412,212,66000,13000,787,476,15481
Percy Jackson & the Olympians: The Lightning Thief,2010,Adventure|Family|Fantasy,greek|lightning|lightning bolt|poseidon|teenager,http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1,Chris Columbus,Logan Lerman,Rosario Dawson,Steve Coogan,Color,118,English,UK,0,2.35,PG,95000000,88761720,5.9,141179,419,217,0,9000,8000,3000,1000,14024
The Secret Life of Walter Mitty,2013,Adventure|Comedy|Drama|Fantasy|Romance,daydream|life magazine|magazine|photographer|snow leopard,http://www.imdb.com/title/tt0359950/?ref_=fn_tt_tt_1,Ben Stiller,Adam Scott,Adrian Martinez,Joey Slotnick,Color,114,English,USA,1,2.35,PG,90000000,58229120,7.3,236421,515,362,0,70000,3000,806,423,5095
