,movie_title,title_year,director_name,actor_1_name,duration,facenumber_in_poster,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes
0,Total Recall,1990,Paul Verhoeven,Ronny Cox,113,0,65000000,119412921,7.5,240241,391,196,719,0,605,1441
1,The 13th Warrior,1999,John McTiernan,Tony Curran,102,1,85000000,32694788,6.6,101411,546,85,323,0,845,1815
2,Gone in Sixty Seconds,2000,Dominic Sena,Nicolas Cage,127,1,90000000,101643008,6.5,218341,498,175,57,0,12000,29069
3,The Expendables 2,2012,Simon West,Jason Statham,103,3,92000000,85017401,6.7,246803,474,383,165,108000,26000,57881
4,End of Days,1999,Peter Hyams,CCH Pounder,121,0,83000000,66862068,5.7,89509,524,174,0,2000,1000,3903
5,Legend of the Guardians: The Owls of Ga'Hoole,2010,Zack Snyder,Abbie Cornish,101,1,80000000,55673333,7.0,65785,160,188,0,16000,2000,4286
6,The Expendables 3,2014,Patrick Hughes,Jason Statham,131,15,90000000,39292022,6.1,127258,351,320,385,56000,26000,52610
7,The Spanish Prisoner,1997,David Mamet,Ben Gazzara,110,0,10000000,10200000,7.3,18697,263,97,342,578,623,1722
8,The Stepford Wives,2004,Frank Oz,Jon Lovitz,93,1,90000000,59475623,5.2,49739,407,169,0,0,11000,13748
9,Black Hawk Down,2001,Ridley Scott,Ioan Gruffudd,152,0,92000000,108638745,7.7,292022,1103,200,0,10000,2000,4270
10,The Campaign,2012,Jay Roach,Will Ferrell,85,0,95000000,86897182,6.2,106790,177,255,116,18000,8000,9271
11,The Road to El Dorado,2000,Bibo Bergeron,Frank Welker,89,1,95000000,50802661,6.9,58300,139,82,10,0,2000,3372
12,The Lovely Bones,2009,Peter Jackson,Michael Imperioli,135,1,65000000,43982842,6.7,125109,593,308,0,16000,873,2370
13,Seventh Son,2014,Sergey Bodrov,Jeff Bridges,102,4,95000000,17176900,5.5,54501,154,175,44,16000,12000,17098
14,The Spiderwick Chronicles,2008,Mark Waters,Martin Short,107,0,90000000,71148699,6.6,68935,125,198,70,0,770,1614
15,A Good Day to Die Hard,2013,John Moore,Bruce Willis,101,2,92000000,67344392,5.3,165618,503,412,212,66000,13000,15481
16,Percy Jackson & the Olympians: The Lightning Thief,2010,Chris Columbus,Logan Lerman,118,0,95000000,88761720,5.9,141179,419,217,0,9000,8000,14024
17,The Secret Life of Walter Mitty,2013,Ben Stiller,Adam Scott,114,1,90000000,58229120,7.3,236421,515,362,0,70000,3000,5095
18,Charlie's Angels,2000,McG,Bill Murray,94,0,92000000,125305545,5.5,145350,643,181,368,0,13000,15419
19,Mulan,1998,Tony Bancroft,Ming-Na Wen,88,0,90000000,120618403,7.5,171792,222,143,7,12000,2000,4478
20,Tropic Thunder,2008,Ben Stiller,Robert Downey Jr.,121,3,92000000,110416702,7.0,307539,577,308,0,0,21000,23484
21,The Girl with the Dragon Tattoo,2011,David Fincher,Robin Wright,158,1,90000000,102515793,7.8,330152,632,517,21000,54000,18000,20388
22,Die Hard with a Vengeance,1995,John McTiernan,Bruce Willis,128,1,90000000,100012500,7.6,299258,346,148,323,0,13000,14274
23,Valkyrie,2008,Bryan Singer,Tom Cruise,121,0,75000000,83077470,7.1,183247,440,269,0,0,10000,14165
24,You Don't Mess with the Zohan,2008,Dennis Dugan,Adam Sandler,113,0,90000000,100018837,5.5,156348,380,198,221,0,11000,13446
25,Pixels,2015,Chris Columbus,Peter Dinklage,106,0,88000000,78747585,5.6,89770,342,253,0,39000,22000,35367
26,The Haunted Mansion,2003,Rob Minkoff,Marsha Thomason,88,0,90000000,75817994,4.9,32049,179,122,50,988,691,2622
27,Contact,1997,Robert Zemeckis,Matthew McConaughey,150,2,90000000,100853835,7.4,200556,611,159,0,15000,11000,12289
28,Hollow Man,2000,Paul Verhoeven,Greg Grunberg,119,0,95000000,73209340,5.7,101834,628,180,719,0,833,2356
29,Percy Jackson: Sea of Monsters,2013,Thor Freudenthal,Logan Lerman,106,0,90000000,68558662,5.9,86627,204,183,87,28000,8000,10882
30,Lara Croft Tomb Raider: The Cradle of Life,2003,Jan de Bont,Gerard Butler,117,1,95000000,65653758,5.5,102747,316,157,101,0,18000,33154
31,Now You See Me 2,2016,Jon M. Chu,Daniel Radcliffe,129,6,90000000,64685359,6.9,40862,139,196,209,15000,11000,23031
32,The Saint,1997,Phillip Noyce,Alun Armstrong,116,0,68000000,61355436,6.2,52136,184,64,176,0,192,475
33,Mission to Mars,2000,Brian De Palma,Don Cheadle,114,0,90000000,60874615,5.6,60467,949,181,0,0,3000,4902
34,Volcano,1997,Mick Jackson,Don Cheadle,104,0,90000000,47474112,5.4,58227,181,84,81,2000,3000,5062
35,The Devil's Own,1997,Alan J. Pakula,Harrison Ford,111,0,86000000,42877165,6.1,45602,114,66,79,979,11000,26088
36,Conan the Barbarian,1982,John Milius,William Smith,129,0,20000000,37567440,6.9,113065,337,166,468,0,919,2024
