,movie_title,title_year,director_name,actor_1_name,duration,facenumber_in_poster,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes
1,The 13th Warrior,1999,John McTiernan,Tony Curran,102,0.5,85000000,32694788,6.6,101411,546,85,323,0,845,1815
2,Gone in Sixty Seconds,2000,Dominic Sena,Nicolas Cage,127,0.5,90000000,101643008,6.5,218341,498,175,57,0,12000,29069
3,The Expendables 2,2012,Simon West,Jason Statham,103,2.0,92000000,85017401,6.7,246803,474,383,165,108000,26000,57881
5,Legend of the Guardians: The Owls of Ga'Hoole,2010,Zack Snyder,Abbie Cornish,101,0.5,80000000,55673333,7.0,65785,160,188,0,16000,2000,4286
6,The Expendables 3,2014,Patrick Hughes,Jason Statham,131,2.0,90000000,39292022,6.1,127258,351,320,385,56000,26000,52610
7,The Spanish Prisoner,1997,David Mamet,Ben Gazzara,110,0.5,10000000,10200000,7.3,18697,263,97,342,578,623,1722
9,Black Hawk Down,2001,Ridley Scott,Ioan Gruffudd,152,0.5,92000000,108638745,7.7,292022,1103,200,0,10000,2000,4270
10,The Campaign,2012,Jay Roach,Will Ferrell,85,0.5,95000000,86897182,6.2,106790,177,255,116,18000,8000,9271
11,The Road to El Dorado,2000,Bibo Bergeron,Frank Welker,89,0.5,95000000,50802661,6.9,58300,139,82,10,0,2000,3372
12,The Lovely Bones,2009,Peter Jackson,Michael Imperioli,135,0.5,65000000,43982842,6.7,125109,593,308,0,16000,873,2370
14,The Spiderwick Chronicles,2008,Mark Waters,Martin Short,107,0.5,90000000,71148699,6.6,68935,125,198,70,0,770,1614
17,The Secret Life of Walter Mitty,2013,Ben Stiller,Adam Scott,114,0.5,90000000,58229120,7.3,236421,515,362,0,70000,3000,5095
19,Mulan,1998,Tony Bancroft,Ming-Na Wen,88,0.5,90000000,120618403,7.5,171792,222,143,7,12000,2000,4478
20,Tropic Thunder,2008,Ben Stiller,Robert Downey Jr.,121,2.0,92000000,110416702,7.0,307539,577,308,0,0,21000,23484
21,The Girl with the Dragon Tattoo,2011,David Fincher,Robin Wright,158,0.5,90000000,102515793,7.8,330152,632,517,21000,54000,18000,20388
22,Die Hard with a Vengeance,1995,John McTiernan,Bruce Willis,128,0.5,90000000,100012500,7.6,299258,346,148,323,0,13000,14274
23,Valkyrie,2008,Bryan Singer,Tom Cruise,121,0.5,75000000,83077470,7.1,183247,440,269,0,0,10000,14165
27,Contact,1997,Robert Zemeckis,Matthew McConaughey,150,2.0,90000000,100853835,7.4,200556,611,159,0,15000,11000,12289
31,Now You See Me 2,2016,Jon M. Chu,Daniel Radcliffe,129,2.0,90000000,64685359,6.9,40862,139,196,209,15000,11000,23031
32,The Saint,1997,Phillip Noyce,Alun Armstrong,116,0.5,68000000,61355436,6.2,52136,184,64,176,0,192,475
35,The Devil's Own,1997,Alan J. Pakula,Harrison Ford,111,0.5,86000000,42877165,6.1,45602,114,66,79,979,11000,26088
37,Cinderella Man,2005,Ron Howard,Paddy Considine,144,0.5,88000000,61644321,8.0,148238,529,201,2000,0,680,2523
39,Seabiscuit,2003,Gary Ross,Jeff Bridges,140,0.5,87000000,120147445,7.3,57661,455,175,378,0,12000,13808
40,Enchanted,2007,Kevin Lima,Jeff Bennett,107,2.0,85000000,127706877,7.1,142496,399,222,36,0,283,662
41,Safe House,2012,Daniel Espinosa,Denzel Washington,115,0.5,85000000,126149655,6.8,166693,276,298,79,19000,18000,36237
43,Tower Heist,2011,Brett Ratner,Matthew Broderick,104,2.0,75000000,78009155,6.2,110073,194,236,420,0,2000,3768
44,The Holiday,2006,Nancy Meyers,Kate Winslet,138,2.0,85000000,63224849,6.9,182757,483,157,278,19000,14000,17423
45,Enemy of the State,1998,Tony Scott,Will Smith,140,2.0,90000000,111544445,7.3,188116,415,81,12000,0,10000,11951
46,It's Complicated,2009,Nancy Meyers,Meryl Streep,120,2.0,85000000,112703470,6.6,69860,214,187,278,0,11000,15226
47,Ocean's Thirteen,2007,Steven Soderbergh,Al Pacino,122,2.0,85000000,117144465,6.9,256928,288,238,0,0,14000,43499
48,Open Season,2006,Roger Allers,Jon Favreau,83,0.5,85000000,84303558,6.2,65270,100,107,28,863,4000,6081
49,Enemy at the Gates,2001,Jean-Jacques Annaud,Bob Hoskins,131,0.5,68000000,51396781,7.6,188887,662,187,218,0,5000,5103
50,The Rundown,2003,Peter Berg,Dwayne Johnson,104,0.5,85000000,47592825,6.7,82731,255,151,532,0,12000,16930
52,Memoirs of a Geisha,2005,Rob Marshall,Li Gong,145,0.5,85000000,57010853,7.3,119286,548,229,252,0,879,2380
53,The Fast and the Furious: Tokyo Drift,2006,Justin Lin,Amber Stevens West,104,2.0,85000000,62494975,6.0,179500,378,158,681,0,584,1235
54,Meet Joe Black,1998,Martin Brest,Anthony Hopkins,178,0.5,90000000,44606335,7.1,169023,703,98,102,10000,12000,23950
57,Scott Pilgrim vs. the World,2010,Edgar Wright,Anna Kendrick,112,0.5,60000000,31494270,7.5,273921,522,393,1000,36000,10000,12687
